Organism,Country,Year,Prophet_Forecast_%,Prophet_CI_Lower_%,Prophet_CI_Upper_%
Klebsiella pneumoniae,Argentina,2025.0,81.23,69.44,93.77
Klebsiella pneumoniae,Argentina,2026.0,83.19,70.95,95.27
Klebsiella pneumoniae,Argentina,2027.0,85.15,73.77,97.37
Klebsiella pneumoniae,Argentina,2028.0,87.11,76.56,99.73
Klebsiella pneumoniae,Argentina,2029.0,89.08,76.82,100.0
Klebsiella pneumoniae,Argentina,2030.0,91.04,78.51,100.0
Klebsiella pneumoniae,Australia,2025.0,11.95,0.0,23.9
Klebsiella pneumoniae,Australia,2026.0,11.77,1.51,23.9
Klebsiella pneumoniae,Australia,2027.0,11.58,0.0,23.58
Klebsiella pneumoniae,Australia,2028.0,11.39,0.81,25.37
Klebsiella pneumoniae,Australia,2029.0,11.21,0.0,23.81
Klebsiella pneumoniae,Australia,2030.0,11.02,0.0,23.46
Klebsiella pneumoniae,Belgium,2025.0,52.19,39.29,66.09
Klebsiella pneumoniae,Belgium,2026.0,54.01,39.87,68.0
Klebsiella pneumoniae,Belgium,2027.0,55.84,41.39,70.7
Klebsiella pneumoniae,Belgium,2028.0,57.66,43.25,72.32
Klebsiella pneumoniae,Belgium,2029.0,59.48,45.44,72.07
Klebsiella pneumoniae,Belgium,2030.0,61.31,47.66,76.35
Klebsiella pneumoniae,Brazil,2025.0,78.08,67.78,88.47
Klebsiella pneumoniae,Brazil,2026.0,79.13,69.04,88.77
Klebsiella pneumoniae,Brazil,2027.0,80.18,70.22,90.16
Klebsiella pneumoniae,Brazil,2028.0,81.22,71.35,90.36
Klebsiella pneumoniae,Brazil,2029.0,82.27,72.39,92.54
Klebsiella pneumoniae,Brazil,2030.0,83.32,73.05,93.96
Klebsiella pneumoniae,Canada,2025.0,26.87,16.88,37.86
Klebsiella pneumoniae,Canada,2026.0,27.93,17.81,38.04
Klebsiella pneumoniae,Canada,2027.0,28.99,17.52,38.57
Klebsiella pneumoniae,Canada,2028.0,30.05,19.38,40.14
Klebsiella pneumoniae,Canada,2029.0,31.11,20.97,41.41
Klebsiella pneumoniae,Canada,2030.0,32.17,21.75,42.78
Klebsiella pneumoniae,Chile,2025.0,86.89,66.44,100.0
Klebsiella pneumoniae,Chile,2026.0,88.66,69.4,100.0
Klebsiella pneumoniae,Chile,2027.0,90.44,68.81,100.0
Klebsiella pneumoniae,Chile,2028.0,92.21,71.27,100.0
Klebsiella pneumoniae,Chile,2029.0,93.99,73.82,100.0
Klebsiella pneumoniae,Chile,2030.0,95.76,77.11,100.0
Klebsiella pneumoniae,China,2025.0,60.48,40.85,80.26
Klebsiella pneumoniae,China,2026.0,60.87,42.07,80.03
Klebsiella pneumoniae,China,2027.0,61.26,42.32,82.85
Klebsiella pneumoniae,China,2028.0,61.66,42.51,80.69
Klebsiella pneumoniae,China,2029.0,62.05,42.09,81.26
Klebsiella pneumoniae,China,2030.0,62.45,42.88,83.47
Klebsiella pneumoniae,Colombia,2025.0,71.09,49.71,91.25
Klebsiella pneumoniae,Colombia,2026.0,73.28,50.1,94.29
Klebsiella pneumoniae,Colombia,2027.0,75.46,53.51,96.5
Klebsiella pneumoniae,Colombia,2028.0,77.65,55.39,98.79
Klebsiella pneumoniae,Colombia,2029.0,79.85,59.27,100.0
Klebsiella pneumoniae,Colombia,2030.0,82.03,60.58,100.0
Klebsiella pneumoniae,Croatia,2025.0,85.49,72.78,97.75
Klebsiella pneumoniae,Croatia,2026.0,87.23,76.0,99.54
Klebsiella pneumoniae,Croatia,2027.0,88.97,76.41,100.0
Klebsiella pneumoniae,Croatia,2028.0,90.71,78.54,100.0
Klebsiella pneumoniae,Croatia,2029.0,92.46,80.1,100.0
Klebsiella pneumoniae,Croatia,2030.0,94.2,81.43,100.0
Klebsiella pneumoniae,Czech Republic,2025.0,63.72,46.2,78.72
Klebsiella pneumoniae,Czech Republic,2026.0,63.73,48.28,79.03
Klebsiella pneumoniae,Czech Republic,2027.0,63.73,47.92,79.2
Klebsiella pneumoniae,Czech Republic,2028.0,63.74,48.18,78.98
Klebsiella pneumoniae,Czech Republic,2029.0,63.74,48.79,79.97
Klebsiella pneumoniae,Czech Republic,2030.0,63.75,47.73,78.99
Klebsiella pneumoniae,Denmark,2025.0,23.72,10.65,35.94
