Organism,Country,Year,ARIMA_Forecast_%,ARIMA_CI_Lower_%,ARIMA_CI_Upper_%,Prophet_Forecast_%,Prophet_CI_Lower_%,Prophet_CI_Upper_%,Model_Agreement,Ensemble_Mean_%
Acinetobacter baumannii,Croatia,2025.0,99.99,99.76,100.0,99.87,96.28,100.0,AGREE,99.93
Acinetobacter baumannii,Croatia,2026.0,99.94,99.62,100.0,100.0,96.08,100.0,AGREE,99.97
Acinetobacter baumannii,Croatia,2027.0,99.89,99.4,100.0,100.0,96.02,100.0,AGREE,99.94
Acinetobacter baumannii,Croatia,2028.0,99.85,99.14,100.0,100.0,96.8,100.0,AGREE,99.92
Acinetobacter baumannii,Croatia,2029.0,99.82,98.87,100.0,100.0,97.01,100.0,AGREE,99.91
Acinetobacter baumannii,Croatia,2030.0,99.79,98.59,100.0,100.0,96.97,100.0,AGREE,99.9
Acinetobacter baumannii,France,2025.0,45.78,12.18,79.39,58.74,40.89,76.63,DISAGREE,52.26
Acinetobacter baumannii,France,2026.0,64.23,19.06,100.0,61.43,44.17,79.24,AGREE,62.83
Acinetobacter baumannii,France,2027.0,60.93,13.91,100.0,64.12,45.09,81.75,AGREE,62.53
Acinetobacter baumannii,France,2028.0,47.65,0.0,96.0,66.82,49.35,84.72,DISAGREE,57.24
Acinetobacter baumannii,France,2029.0,57.41,2.4,100.0,69.52,51.51,86.78,DISAGREE,63.46
Acinetobacter baumannii,France,2030.0,63.04,4.49,100.0,72.21,54.27,91.5,AGREE,67.62
Acinetobacter baumannii,Italy,2025.0,60.28,37.75,82.82,91.77,81.03,100.0,DISAGREE,76.03
Acinetobacter baumannii,Italy,2026.0,60.28,23.04,97.52,92.47,80.18,100.0,DISAGREE,76.38
Acinetobacter baumannii,Italy,2027.0,60.28,12.68,100.0,93.16,80.62,100.0,DISAGREE,76.72
Acinetobacter baumannii,Italy,2028.0,60.28,4.21,100.0,93.86,82.71,100.0,DISAGREE,77.07
Acinetobacter baumannii,Italy,2029.0,60.28,0.0,100.0,94.56,83.24,100.0,DISAGREE,77.42
Acinetobacter baumannii,Italy,2030.0,60.28,0.0,100.0,95.25,83.8,100.0,DISAGREE,77.76
Acinetobacter baumannii,Spain,2025.0,93.19,74.15,100.0,68.69,63.2,75.3,DISAGREE,80.94
Acinetobacter baumannii,Spain,2026.0,65.55,45.82,85.29,68.31,61.61,74.71,AGREE,66.93
Acinetobacter baumannii,Spain,2027.0,44.38,22.74,66.02,67.93,61.34,74.71,DISAGREE,56.16
Acinetobacter baumannii,Spain,2028.0,58.08,30.91,85.24,67.55,61.13,73.58,AGREE,62.82
Acinetobacter baumannii,Spain,2029.0,96.45,68.82,100.0,67.17,60.61,73.45,DISAGREE,81.81
Acinetobacter baumannii,Spain,2030.0,100.0,84.89,100.0,66.79,60.56,73.05,DISAGREE,83.4
Acinetobacter baumannii,United States,2025.0,53.14,26.22,80.05,55.56,42.09,69.38,AGREE,54.35
Acinetobacter baumannii,United States,2026.0,53.17,26.26,80.09,55.98,42.48,69.05,AGREE,54.58
Acinetobacter baumannii,United States,2027.0,53.21,26.29,80.12,56.4,44.42,69.99,AGREE,54.8
Acinetobacter baumannii,United States,2028.0,53.24,26.32,80.16,56.81,42.9,69.43,AGREE,55.03
