T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
20,Andorra,2015,Current health expenditure (% of GDP),6.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2020,Current health expenditure (% of GDP),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2021,Current health expenditure (% of GDP),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2022,Current health expenditure (% of GDP),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2005,Domestic general government health expenditure (% of total government expenditure),18.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2010,Domestic general government health expenditure (% of total government expenditure),24.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2015,Domestic general government health expenditure (% of total government expenditure),15.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2020,Domestic general government health expenditure (% of total government expenditure),15.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2021,Domestic general government health expenditure (% of total government expenditure),15.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2022,Domestic general government health expenditure (% of total government expenditure),15.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2005,Current health expenditure (% of GDP),2.9,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2010,Current health expenditure (% of GDP),2.7,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2015,Current health expenditure (% of GDP),2.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2020,Current health expenditure (% of GDP),3.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2021,Current health expenditure (% of GDP),3.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2022,Current health expenditure (% of GDP),2.9,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2005,Domestic general government health expenditure (% of total government expenditure),4.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2010,Domestic general government health expenditure (% of total government expenditure),4.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2015,Domestic general government health expenditure (% of total government expenditure),4.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2020,Domestic general government health expenditure (% of total government expenditure),7.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2021,Domestic general government health expenditure (% of total government expenditure),8.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
24,Angola,2022,Domestic general government health expenditure (% of total government expenditure),6.7,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2005,Current health expenditure (% of GDP),5.0,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2010,Current health expenditure (% of GDP),5.4,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2015,Current health expenditure (% of GDP),5.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2020,Current health expenditure (% of GDP),5.7,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2021,Current health expenditure (% of GDP),5.0,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2022,Current health expenditure (% of GDP),5.7,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2005,Domestic general government health expenditure (% of total government expenditure),11.5,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2010,Domestic general government health expenditure (% of total government expenditure),13.9,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2015,Domestic general government health expenditure (% of total government expenditure),11.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2020,Domestic general government health expenditure (% of total government expenditure),13.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2021,Domestic general government health expenditure (% of total government expenditure),13.1,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
28,Antigua and Barbuda,2022,Domestic general government health expenditure (% of total government expenditure),14.0,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2005,Current health expenditure (% of GDP),7.6,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2010,Current health expenditure (% of GDP),9.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2015,Current health expenditure (% of GDP),10.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2020,Current health expenditure (% of GDP),10.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2021,Current health expenditure (% of GDP),10.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2022,Current health expenditure (% of GDP),9.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2005,Domestic general government health expenditure (% of total government expenditure),16.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2010,Domestic general government health expenditure (% of total government expenditure),16.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2015,Domestic general government health expenditure (% of total government expenditure),16.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2020,Domestic general government health expenditure (% of total government expenditure),15.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2021,Domestic general government health expenditure (% of total government expenditure),16.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
32,Argentina,2022,Domestic general government health expenditure (% of total government expenditure),15.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2005,Current health expenditure (% of GDP),5.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2010,Current health expenditure (% of GDP),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2015,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2020,Current health expenditure (% of GDP),12.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2021,Current health expenditure (% of GDP),12.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2022,Current health expenditure (% of GDP),10.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2005,Domestic general government health expenditure (% of total government expenditure),7.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2010,Domestic general government health expenditure (% of total government expenditure),6.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2015,Domestic general government health expenditure (% of total government expenditure),6.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2020,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2021,Domestic general government health expenditure (% of total government expenditure),7.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
51,Armenia,2022,Domestic general government health expenditure (% of total government expenditure),6.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2005,Current health expenditure (% of GDP),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2010,Current health expenditure (% of GDP),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2015,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2020,Current health expenditure (% of GDP),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2021,Current health expenditure (% of GDP),10.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2022,Current health expenditure (% of GDP),9.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2005,Domestic general government health expenditure (% of total government expenditure),15.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2010,Domestic general government health expenditure (% of total government expenditure),16.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2015,Domestic general government health expenditure (% of total government expenditure),18.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2020,Domestic general government health expenditure (% of total government expenditure),17.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2021,Domestic general government health expenditure (% of total government expenditure),19.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
36,Australia,2022,Domestic general government health expenditure (% of total government expenditure),20.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2005,Current health expenditure (% of GDP),9.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2010,Current health expenditure (% of GDP),10.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2015,Current health expenditure (% of GDP),10.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2020,Current health expenditure (% of GDP),11.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2021,Current health expenditure (% of GDP),12.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2022,Current health expenditure (% of GDP),11.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2005,Domestic general government health expenditure (% of total government expenditure),13.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2010,Domestic general government health expenditure (% of total government expenditure),14.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2015,Domestic general government health expenditure (% of total government expenditure),14.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2020,Domestic general government health expenditure (% of total government expenditure),15.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2021,Domestic general government health expenditure (% of total government expenditure),16.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
40,Austria,2022,Domestic general government health expenditure (% of total government expenditure),16.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2005,Current health expenditure (% of GDP),2.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2010,Current health expenditure (% of GDP),2.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2015,Current health expenditure (% of GDP),4.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2020,Current health expenditure (% of GDP),5.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2021,Current health expenditure (% of GDP),4.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2022,Current health expenditure (% of GDP),4.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2005,Domestic general government health expenditure (% of total government expenditure),4.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2010,Domestic general government health expenditure (% of total government expenditure),3.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2015,Domestic general government health expenditure (% of total government expenditure),3.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2020,Domestic general government health expenditure (% of total government expenditure),5.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2021,Domestic general government health expenditure (% of total government expenditure),4.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
31,Azerbaijan,2022,Domestic general government health expenditure (% of total government expenditure),4.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2005,Current health expenditure (% of GDP),4.0,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2010,Current health expenditure (% of GDP),5.3,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2015,Current health expenditure (% of GDP),5.2,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2020,Current health expenditure (% of GDP),7.6,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2021,Current health expenditure (% of GDP),7.0,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2022,Current health expenditure (% of GDP),7.2,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2005,Domestic general government health expenditure (% of total government expenditure),12.9,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2010,Domestic general government health expenditure (% of total government expenditure),15.4,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2015,Domestic general government health expenditure (% of total government expenditure),12.8,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2020,Domestic general government health expenditure (% of total government expenditure),15.1,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2021,Domestic general government health expenditure (% of total government expenditure),13.5,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
44,Bahamas (The),2022,Domestic general government health expenditure (% of total government expenditure),15.8,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2005,Current health expenditure (% of GDP),3.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2010,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
